World_bank_region;Country_Region;Province_State;World_Bank_Name;Health_exp_pct_GDP_2016;Health_exp_public_pct_2016;Health_exp_out_of_pocket_pct_2016;Health_exp_per_capita_USD_2016;per_capita_exp_PPP_2016;External_health_exp_pct_2016;Physicians_per_1000_2009-18;Nurse_midwife_per_1000_2009-18;Specialist_surgical_per_1000_2008-18;Completeness_of_birth_reg_2009-18;Completeness_of_death_reg_2008-16
South_Asia;Afghanistan;;Afghanistan;10.2;5.1;77.4;57.2;162.8;17.5;0.3;0.3;0;42.3;NaN
Europe_and_Central_Asia;Albania;;Albania;6.7;41.4;58;271.5;759.7;0.7;1.2;3.6;11.6;98.4;53
Middle_East_and_North_Africa;Algeria;;Algeria;6.6;67.7;30.9;260.4;998.2;0;1.8;2.2;12.1;100;NaN
Europe_and_Central_Asia;Andorra;;Andorra;10.4;49.1;41.7;3834.7;4978.7;NaN;3.3;4;83.1;100;80
Sub_Saharan_Africa;Angola;;Angola;2.9;44.1;35.2;95.2;185.8;3.6;0.2;1.3;NaN;25;NaN
Latin_america_and_caribbean;Antigua and Barbuda;;Antigua and Barbuda;4.3;60.6;32.2;623.1;976.4;0;2.8;3.1;14;NaN;79
Latin_america_and_caribbean;Argentina;;Argentina;7.5;74.4;15.8;955.2;1531;0.6;4;2.6;50.1;100;100
Europe_and_Central_Asia;Armenia;;Armenia;9.9;16.5;80.6;358.8;876.9;1.7;2.9;5.6;86.7;99.3;76
East_Asia_and_Pacific;Australia;;Australia;9.3;68.3;18.9;5002.4;4529.9;0;3.6;12.7;45.1;100;100
Europe_and_Central_Asia;Austria;;Austria;10.4;72.5;18.9;4688.3;5295.2;NaN;5.1;8.2;109.9;100;100
Europe_and_Central_Asia;Azerbaijan;;Azerbaijan;6.9;20;78.9;268.2;1193.1;0.4;3.4;7;67.6;NaN;NaN
Latin_america_and_caribbean;Bahamas;;Bahamas, The;6.4;49.9;27.7;1835.2;1435.6;0.4;1.9;3.1;NaN;NaN;93
Middle_East_and_North_Africa;Bahrain;;Bahrain;4.9;61.4;28;1099.4;1866.3;0;0.9;2.5;14.4;NaN;88
South_Asia;Bangladesh;;Bangladesh;2.4;18;71.9;34.2;90.6;7.6;0.5;0.3;2.9;20.2;NaN
Latin_america_and_caribbean;Barbados;;Barbados;7;45.9;45.2;1163.8;1323;1.7;2.5;6;17.2;99;100
Europe_and_Central_Asia;Belarus;;Belarus;6.3;61.4;35.8;318;1151.4;0.2;4.1;11.4;124.2;100;100
Europe_and_Central_Asia;Belgium;;Belgium;10;84.1;15.9;4149.4;4667.9;0;3.3;11.1;89.8;100;100
Latin_america_and_caribbean;Belize;;Belize;6.1;66.3;22.9;303.6;541.4;3.8;1.1;1.7;10.5;96;100
Sub_Saharan_Africa;Benin;;Benin;3.9;20.5;43.5;30.4;83.5;30.5;0.2;0.6;1.9;85.6;NaN
South_Asia;Bhutan;;Bhutan;3.5;74;20.1;91.3;293.1;4.8;0.4;1.5;2.9;100;NaN
Latin_america_and_caribbean;Bolivia;;Bolivia;6.9;65.7;28;213;496.3;3.2;1.6;0.7;33.9;92;NaN
Europe_and_Central_Asia;Bosnia and Herzegovina;;Bosnia and Herzegovina;9.2;70.8;28.7;443.8;1123.4;0.2;2;6.3;32.3;NaN;89
Sub_Saharan_Africa;Botswana;;Botswana;5.5;55.9;5.2;379.9;931.3;6.7;0.4;3.3;3.6;88;NaN
Latin_america_and_caribbean;Brazil;;Brazil;11.8;33.2;43.6;1015.9;1777.5;0.1;2.1;9.7;55.5;96;93
East_Asia_and_Pacific;Brunei;;Brunei Darussalam;2.3;94.9;5.1;630.6;1812.4;0;1.8;6.6;NaN;NaN;89
Europe_and_Central_Asia;Bulgaria;;Bulgaria;8.2;50.6;48;612.5;1577.9;NaN;4;5.3;112.7;100;100
Sub_Saharan_Africa;Burkina Faso;;Burkina Faso;6.8;40.1;31.4;40.9;115.6;23.5;0.1;0.6;0.6;76.9;NaN
Sub_Saharan_Africa;Burundi;;Burundi;6.2;29.1;30.5;18.5;50.3;38.6;0.1;0.7;0.4;83.5;NaN
Sub_Saharan_Africa;Cabo Verde;;Cabo Verde;5.2;56.8;26;159.1;347.6;15.1;0.8;1.2;16;91;NaN
East_Asia_and_Pacific;Cambodia;;Cambodia;6.1;21.8;58.6;77.7;228.6;18.9;0.2;1;4.2;73.3;NaN
Sub_Saharan_Africa;Cameroon;;Cameroon;4.7;13.3;69.5;64.5;169.3;9.3;0.1;0.9;1.2;66;NaN
North_America;Canada;;Canada;10.5;73.4;14.6;4458.2;4718.3;NaN;2.6;9.9;43.9;100;100
Europe_and_Central_Asia;United Kingdom;Cayman Islands;Cayman Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;156.8;NaN;NaN
Sub_Saharan_Africa;Central African Republic;;Central African Republic;4.3;14.9;43.1;16.4;29.9;40.9;0.1;0.2;0.4;61;NaN
